bk_no,bk_name,addr_kenno,addr_sino
40616,インノバーレ・Ｔ,4,4105
920181,×××ロフティＫ,4,4104
40127,ベルヴュコート仙台,4,4102
943011,×××東黒松Mパーキング,4,4105
42889,ひより台１丁目貸家,4,4216
47614,コート・アバンテ,4,4104
48747,エスポワールコマツ壱番館,4,4101
47116,フォーレＭ,4,4101
15309,マーブルコートⅡ,4,4105
47575,エコースクエアⅡ,4,4102
45389,αNEXT荒巻神明町,4,4101
47446,メゾンビッグバードＡ,4,4101
40337,アザレアＢ棟,4,4421
44374,メゾン・ド・カンパーニュ,4,4104
551,Wiz Box 02,4,4102
44300,コンフォール台原Ⅲ,4,4101
47596,エル・ドラード,4,4104
46233,クランベリー,4,4104
48924,ロイヤルシャトー今泉Ｂ,4,4103
921008,×××虹の丘貸家,4,4105
46970,メリファ春日,4,4101
42811,カトウビル,4,4102
48055,ハピネス,4,4104
94040,エセレンテ,4,4102
42087,布袋屋マンション,4,4101
693,パルメゾン台原,4,4101
40677,ジェルメアンジュⅡ,4,4421
93223,あけぼのハイツ,4,4101
93338,エストレジャ,4,4101
45324,ホワイトキャッスル２３番館,4,4103
48114,Ｖ,4,4102
913007,×××鷹見駐車場,4,4105
41025,グランベルディ八乙女Ｅ棟,4,4105
990034,メープル,4,4101
990205,エクセルシャトー菱沼,4,4104
48792,ロイヤルハイツ23,4,4101
900744,×××ファーイーストメゾン,4,4104
48024,エストアベニュー,4,4103
47680,リードやぎやま,4,4104
45436,サンパレス向陽,4,4103
52095,メゾン・ド・ケイ,4,4104
43058,ヴィントルーナ,4,4103
912095,×××朝日プラザ上杉,4,4101
41706,フィオーレ元茶畑,4,4103
44296,チャコールウッドステージ,4,4103
48811,ベルパーク南吉成Ｄ,4,4101
45920,パレス安養寺,4,4102
44247,クレベール,4,4103
44038,セジュール八幡,4,4209
12011,ライオンズマンション荒町第２,4,4103
44301,ＫＯＭＦＯＲＴ　Ⅰ,4,4102
46009,Ｋｓｐａｃｅ文化町,4,4103
46115,コアライフ山手,4,4101
48011,愛子２００５,4,4101
697,リューレントホンゴウⅠ,4,4105
43504,ロイヤルパーク五橋,4,4101
900723,×××フローラ三陽,4,4103
42743,グランパレ泉,4,4105
47160,メゾンドールＢ,4,4104
911020,×××中山８丁目貸家,4,4101
48524,プロスパーマンションⅠ,4,4203
41075,ハイカムールＡ棟,4,4105
47509,ハイツエレガンス・イースト,4,4102
40310,コーポ白鳥Ａ棟,4,4421
44334,パセオプラシードＭ,4,4211
48932,エスペランス中町,4,4103
990314,アイビーハウスⅡ,4,4101
12070,五橋パーク・ホームズ仙台中央アーバンコート,4,4101
900653,×××ロフティ水の森,4,4101
48920,デュオプラザⅠ,4,4103
93297,北山ベルハイツ,4,4101
16011,シエナ仙台Ⅲ,4,4102
48,ビューハイツヒロ,4,4101
175,レジデンス天神沢,4,4105
990328,イートンハイツ木町通,4,4101
40509,メゾングリュック,4,4101
42862,ロイヤルハイツ泉中央Ⅰ,4,4105
40669,グランメール大善ⅠC,4,4421
48949,アミティⅡ,4,4103
900702,×××佐松マンション,4,4103
42710,スカーラヒルズ仙台ガーデンウィング,4,4101
886,第一メゾン青山,4,4104
44245,クレセントオサダＢ,4,4211
737,ハイツルーベンス,4,4104
42922,しゃとれ山手町,4,4101
52041,ティエラ松波,4,4104
13018,吉成駐車場,4,4101
47423,ディアス上杉,4,4101
515,■　空き番号　■　12世帯程度,4,4101
47305,シャーメゾンR,4,4101
93131,コートリバーサイド,4,4104
48210,T＆S,4,4102
45390,ラルジュ・フォーレA,4,4102
45325,古城三丁目ハイツ,4,4103
912131,×××仙台ファーストマンション,4,4101
900751,×××アソルティ東二番丁,4,4101
983,クレールコートⅠ,4,4101
50065,Ｇran　Ｓtrada　上杉,4,4101
42052,ベルシティ台原パーク,4,4101
252,カーサ宮城野,4,4102
45383,パルメールミズナ,4,4103
93052,ファミールサニーⅠ,4,4105
46008,ロフトハウス石名坂,4,4103
47023,ローゼンベートＡ,4,4101
11039,天神沢１丁目貸家,4,4105
45095,コーポゴルカＢ,4,4101
12127,■　空き番号　■　一室Ｍ,4,4101
42964,オンディーヌ,4,4102
42807,ＫハイツＦ,4,4105
837,アネックス小松島,4,4101
963,アスコット多賀城丸山,4,4209
910117,×××エクセルシャトー福田町,4,4102
990312,バーシティハウス木町通,4,4101
42408,グラスランド21,4,4105
503,フレグランス柳生Ｄ棟,4,4104
146,ティエラ飛鳥,4,4104
920014,×××びゅうHeim．H・Y,4,4101
40692,パルネット泉,4,4105
94041,イーストリーバー,4,4102
900866,×××サンコート中央Ａ棟,4,4103
46114,ＹＳＫコーポ幸町,4,4102
42041,アーバンフラッツ五橋,4,4101
48830,プログレール落合壱番館,4,4101
92007,コージーコート,4,4104
42826,サンハイツよこたB,4,4105
900477,×××メゾネット松,4,4105
990116,ディアス１４７,4,4105
16012,Ｓ－ＦＯＲＴ片平,4,4101
43020,North　Lilac,4,4101
15013,■番号保留15013■,4,4101
586,ピースフル黒松,4,4105
51068,グランディ桜ヶ丘,4,4101
668,フローラル清水沼,4,4102
50047,コスモ長町南,4,4104
40610,コーポ川嶋,4,4105
42023,※※削除※※,4,4101
93321,ライオンズマンション長町第２,4,4104
947,グランアジュール,4,4101
912041,×××サニーハイツ高砂,4,4102
41707,アルモニ原町,4,4102
990007,ロイヤルヒルズ上杉Ⅲ,4,4101
48944,パルクロゼットⅤ,4,4103
44191,ドリームヒルズＢ,4,4105
52090,メゾン春日,4,4104
911053,×××長命ケ丘２丁目Ｈ戸建,4,4105
40421,（仮）村上ハイツ,4,4102
43937,Uパーク,4,4105
44299,シャルマンコート杜　Ａ,4,4207
630,ロフティアスコットハイム,4,4102
42856,コートハイム南光台壱番館,4,4105
445,Ｎｏａｈ’ｓ　Ａｒｋ,4,4103
517,スプリングハイツ,4,4101
45136,ヴェルデ泉,4,4101
47339,カーサ・ソレアードＫ,4,4406
900709,×××ハウスセンチュリー,4,4104
900524,×××サンクチュアリ鷺ケ森,4,4101
42703,アバンサール市名坂,4,4105
990305,パークヒルズ子平町,4,4101
45001,ヴェルドミール川平,4,4101
95,ベルシオン仙台第３,4,4105
42039,ベルシティ台原,4,4101
48213,原ノ町,4,4102
44228,ヴィラ・アルバC,4,4102
309,コーポベル,4,4101
562,シャルム黒松,4,4105
40606,ハイネス南中山,4,4105
47381,ヤマサンプラザ,4,4103
94103,アイリスコーポ,4,4101
93311,グランステージⅠ,4,4216
42808,ロイヤルハイツ市名坂,4,4105
900234,×××コテージ弥生,4,4104
47655,ヴィラージュ・S,4,4203
48122,シャングリラ２００４,4,4105
48054,八木山南第１,4,4104
51061,アビエス,4,4101
73,ベルトピア仙台７,4,4101
757,ラ・ヴィータ　フェリス　ドゥエ,4,4101
941,ベルメゾン宮の丘,4,4102
47039,さくらそう,4,4105
91052,クラウンシャトーⅠ,4,4101
928,ＨＯＷ’Ｓ川内三十人町Ｂ棟,4,4101
42956,プリエ白鳥,4,4102
93292,５１０ビル,4,4101
46218,ソレイユⅢ,4,4104
1014,ヴィレッジ旭ケ丘,4,4101
50026,ジュネス米ケ袋,4,4101
